area_fips,own_code,industry_code,agglvl_code,annual_avg_estabs
28000,5,53,54,3184
28000,5,54,54,12142
28000,5,55,54,892
28000,5,56,54,6705
28000,5,61,54,1030
28000,5,62,54,8571
28000,5,71,54,909
28000,5,72,54,7038
28000,5,81,54,5397
29000,5,11,54,2131
29000,5,21,54,330
29000,5,22,54,560
29000,5,23,54,17468
29000,5,31-33,54,8864
29000,5,42,54,12283
29000,5,44-45,54,20606
29000,5,48-49,54,6448
29000,5,51,54,5982
29000,5,52,54,13532
29000,5,53,54,7887
29000,5,54,54,29564
29000,5,55,54,1910
29000,5,56,54,12192
29000,5,61,54,2649
29000,5,62,54,70706
29000,5,71,54,2899
29000,5,72,54,14107
29000,5,81,54,13781
29000,5,99,54,169
30000,5,11,54,1392
30000,5,21,54,496
30000,5,22,54,240
30000,5,23,54,7631
30000,5,31-33,54,1846
30000,5,42,54,3218
30000,5,44-45,54,4560
30000,5,48-49,54,1568
30000,5,51,54,1124
30000,5,52,54,2949
30000,5,53,54,2253
30000,5,54,54,9832
30000,5,55,54,318
30000,5,56,54,3850
30000,5,61,54,900
30000,5,62,54,5200
30000,5,71,54,1572
30000,5,72,54,3790
30000,5,81,54,4462
30000,5,99,54,1676
31000,5,11,54,2635
31000,5,21,54,125
31000,5,22,54,138
31000,5,23,54,7728
31000,5,31-33,54,1900
31000,5,42,54,5678
31000,5,44-45,54,6730
31000,5,48-49,54,2641
31000,5,51,54,1762
31000,5,52,54,5134
31000,5,53,54,2797
31000,5,54,54,10018
31000,5,55,54,1476
31000,5,56,54,5063
31000,5,61,54,826
31000,5,62,54,8688
31000,5,71,54,1054
31000,5,72,54,4946
31000,5,81,54,4852
32000,5,11,54,388
32000,5,21,54,244
32000,5,22,54,130
32000,5,23,54,7011
32000,5,31-33,54,2179
32000,5,42,54,5065
32000,5,44-45,54,8469
32000,5,48-49,54,2649
32000,5,51,54,3844
32000,5,52,54,5310
32000,5,53,54,5400
32000,5,54,54,16906
32000,5,55,54,6990
32000,5,56,54,7392
32000,5,61,54,1345
32000,5,62,54,10417
32000,5,71,54,2430
32000,5,72,54,7824
32000,5,81,54,5902
32000,5,99,54,6654
33000,5,11,54,288
33000,5,21,54,59
33000,5,22,54,118
33000,5,23,54,5490
33000,5,31-33,54,2037
33000,5,42,54,5653
33000,5,44-45,54,5638
33000,5,48-49,54,1074
33000,5,51,54,1638
33000,5,52,54,2991
33000,5,53,54,1548
33000,5,54,54,13074
33000,5,55,54,1204
33000,5,56,54,6384
33000,5,61,54,1276
33000,5,62,54,4725
33000,5,71,54,999
33000,5,72,54,4005
33000,5,81,54,4567
33000,5,99,54,1462
34000,5,11,54,910
34000,5,21,54,130
34000,5,22,54,472
34000,5,23,54,21799
34000,5,31-33,54,9684
34000,5,42,54,16078
34000,5,44-45,54,29048
34000,5,48-49,54,8106
34000,5,51,54,5816
34000,5,52,54,13091
34000,5,53,54,9300
34000,5,54,54,40522
34000,5,55,54,1717
34000,5,56,54,18694
34000,5,61,54,4762
34000,5,62,54,62227
34000,5,71,54,4414
34000,5,72,54,21971
34000,5,81,54,25134
34000,5,99,54,29808
35000,5,11,54,914
35000,5,21,54,1063
35000,5,22,54,302
35000,5,23,54,5535
35000,5,31-33,54,1514
35000,5,42,54,3038
35000,5,44-45,54,6402
35000,5,48-49,54,1628
35000,5,51,54,2013
35000,5,52,54,3395
35000,5,53,54,2697
35000,5,54,54,8898
35000,5,55,54,510
35000,5,56,54,4357
35000,5,61,54,1199
35000,5,62,54,11333
35000,5,71,54,850
35000,5,72,54,4498
35000,5,81,54,4546
35000,5,99,54,0
36000,5,11,54,3405
36000,5,21,54,384
